0	3	0	0	-1	21	-1
1	1	1	0	26	134	-1
2	1	1	0	-1	81	-1
3	3	0	0	-1	132	-1
4	1	1	0	-1	144	-1
5	3	1	0	27	86	24
6	1	0	0	31	22	24
7	2	0	0	-1	16	28
8	3	1	0	-1	137	29
9	3	1	0	30	94	25
10	1	1	0	-1	37	-1
11	1	1	0	-1	107	-1
12	1	0	0	-1	109	-1
13	1	0	0	-1	145	30
14	2	0	0	-1	100	-1
15	1	0	0	-1	18	28
16	1	0	0	28	144	26
17	3	0	0	24	174	-1
18	1	0	0	-1	52	-1
19	1	1	0	-1	100	-1
20	1	1	0	-1	94	28
21	1	0	0	29	64	-1
22	1	0	0	-1	193	24
23	1	0	0	-1	94	-1
24	1	3	1	-1	91	-1
25	1	2	1	-1	90	24
26	1	2	1	-1	16	24
27	1	2	1	-1	46	-1
28	1	3	1	-1	77	-1
29	1	2	1	-1	117	26
30	1	2	1	-1	109	27
31	1	3	1	-1	186	28
