0	49	49	29	47	53	41	92	109	93	90	85	79	19	40	16	55	55	0	0	0	90	51	
49	0	0	56	24	7	46	43	85	46	62	36	51	46	10	45	80	28	0	0	0	72	73	
49	0	0	56	24	7	46	43	85	46	62	36	51	46	10	45	80	28	0	0	0	72	73	
29	56	56	0	39	56	20	93	87	89	72	84	63	47	46	45	27	46	0	0	0	67	22	
47	24	24	39	0	20	23	54	66	50	45	44	33	53	19	51	58	8	0	0	0	51	51	
53	7	7	56	20	0	43	39	78	41	54	31	43	52	13	51	77	21	0	0	0	65	71	
41	46	46	20	23	43	0	77	68	71	52	67	42	55	37	53	34	27	0	0	0	48	27	
92	43	43	93	54	39	77	0	79	16	58	11	53	89	52	88	111	49	0	0	0	77	104	
109	85	85	87	66	78	68	79	0	64	23	70	34	119	84	117	83	59	0	0	0	20	79	
93	46	46	89	50	41	71	16	64	0	43	11	40	93	54	92	104	43	0	0	0	62	97	
90	62	62	72	45	54	52	58	23	43	0	48	11	98	62	96	76	37	0	0	0	20	70	
85	36	36	84	44	31	67	11	70	11	48	0	43	83	45	82	101	39	0	0	0	66	94	
79	51	51	63	33	43	42	53	34	40	11	43	0	87	50	85	69	26	0	0	0	23	63	
19	46	46	47	53	52	55	89	119	93	98	83	87	0	39	2	74	61	0	0	0	101	70	
40	10	10	46	19	13	37	52	84	54	62	45	50	39	0	38	70	25	0	0	0	70	64	
16	45	45	45	51	51	53	88	117	92	96	82	85	2	38	0	72	59	0	0	0	99	67	
55	80	80	27	58	77	34	111	83	104	76	101	69	74	70	72	0	62	0	0	0	64	7	
55	28	28	46	8	21	27	49	59	43	37	39	26	61	25	59	62	0	0	0	0	45	55	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	72	72	67	51	65	48	77	20	62	20	66	23	101	70	99	64	45	0	0	0	0	59	
51	73	73	22	51	71	27	104	79	97	70	94	63	70	64	67	7	55	0	0	0	59	0	
