0	0	51	34	81	86	99	27	39	55	59	55	0	0	0	0	49	
0	0	51	34	81	86	99	27	39	55	59	55	0	0	0	0	49	
51	51	0	68	61	62	70	28	12	76	80	15	0	0	0	0	59	
34	34	68	0	67	74	89	55	55	22	25	64	0	0	0	0	27	
81	81	61	67	0	6	21	77	58	55	56	45	0	0	0	0	40	
86	86	62	74	6	0	15	80	61	62	63	47	0	0	0	0	47	
99	99	70	89	21	15	0	91	71	77	78	55	0	0	0	0	62	
27	27	28	55	77	80	91	0	20	71	75	38	0	0	0	0	58	
39	39	12	55	58	61	71	20	0	65	69	17	0	0	0	0	49	
55	55	76	22	55	62	77	71	65	0	3	67	0	0	0	0	18	
59	59	80	25	56	63	78	75	69	3	0	71	0	0	0	0	21	
55	55	15	64	45	47	55	38	17	67	71	0	0	0	0	0	49	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	49	59	27	40	47	62	58	49	18	21	49	0	0	0	0	0	
