0	3	0	0	-1	139	-1
1	1	0	0	-1	111	31
2	1	0	0	-1	174	-1
3	3	1	0	-1	57	33
4	3	0	0	-1	144	31
5	1	0	0	31	166	30
6	1	1	0	-1	43	-1
7	3	0	0	-1	87	33
8	1	0	0	-1	151	-1
9	1	1	0	-1	164	-1
10	3	0	0	-1	17	31
11	3	0	0	-1	92	31
12	1	0	0	-1	41	30
13	2	1	0	30	155	31
14	2	1	0	33	97	30
15	3	0	0	-1	158	33
16	1	0	0	32	140	-1
17	1	0	0	-1	33	32
18	1	0	0	-1	55	-1
19	1	1	0	-1	76	-1
20	1	0	0	-1	187	-1
21	1	0	0	-1	180	31
22	3	1	0	-1	71	-1
23	1	1	0	-1	123	31
24	2	0	0	-1	90	-1
25	2	1	0	-1	185	30
26	3	0	0	-1	102	-1
27	1	0	0	-1	141	-1
28	2	1	0	-1	136	31
29	2	1	0	-1	164	33
30	1	2	1	-1	161	-1
31	1	3	1	-1	184	-1
32	1	3	1	-1	135	-1
33	1	2	1	-1	173	-1
