0	0	1	23	78	78	81	70	55	97	13	72	68	36	74	
0	0	1	23	78	78	81	70	55	97	13	72	68	36	74	
1	1	0	23	77	78	81	69	55	96	13	72	67	36	73	
23	23	23	0	56	57	57	59	35	76	9	49	53	15	53	
78	78	77	56	0	6	30	45	22	20	65	21	28	41	6	
78	78	78	57	6	0	36	39	22	18	65	27	23	42	4	
81	81	81	57	30	36	0	72	39	44	67	11	56	47	34	
70	70	69	59	45	39	72	0	35	49	62	60	16	47	39	
55	55	55	35	22	22	39	35	0	41	43	27	22	20	18	
97	97	96	76	20	18	44	49	41	0	84	39	36	61	23	
13	13	13	9	65	65	67	62	43	84	0	58	58	23	61	
72	72	72	49	21	27	11	60	27	39	58	0	45	37	24	
68	68	67	53	28	23	56	16	22	36	58	45	0	38	23	
36	36	36	15	41	42	47	47	20	61	23	37	38	0	37	
74	74	73	53	6	4	34	39	18	23	61	24	23	37	0	
