0	73	73	83	65	28	28	44	96	58	72	85	61	92	67	49	23	54	88	112	83	80	73	61	85	84	77	31	0	0	0	8	79	74	78	
73	0	0	11	22	69	65	29	31	36	73	81	19	46	44	58	49	62	47	58	14	97	17	71	95	79	6	85	0	0	0	68	39	73	15	
73	0	0	11	22	69	65	29	31	36	73	81	19	46	44	58	49	62	47	58	14	97	17	71	95	79	6	85	0	0	0	68	39	73	15	
83	11	11	0	33	81	77	41	31	47	83	90	25	51	53	69	60	73	53	59	16	107	25	82	105	89	5	96	0	0	0	78	47	83	21	
65	22	22	33	0	53	50	23	31	14	50	58	35	31	21	37	43	40	30	49	22	74	9	49	73	57	29	69	0	0	0	63	20	50	15	
28	69	69	81	53	0	3	40	84	42	45	58	65	74	47	25	28	28	69	95	75	52	62	34	57	57	75	15	0	0	0	33	61	47	69	
28	65	65	77	50	3	0	36	80	38	44	57	62	70	44	22	26	26	65	91	72	53	59	33	57	56	72	19	0	0	0	33	58	46	65	
44	29	29	41	23	40	36	0	52	23	57	68	26	53	35	35	21	41	51	72	39	77	29	51	78	66	35	55	0	0	0	40	41	58	34	
96	31	31	31	31	84	80	52	0	42	69	71	51	24	41	64	73	66	29	27	17	93	23	71	89	70	33	99	0	0	0	93	27	67	18	
58	36	36	47	14	42	38	23	42	0	37	46	44	33	11	23	38	26	30	54	36	60	23	34	59	45	43	57	0	0	0	58	20	37	29	
72	73	73	83	50	45	44	57	69	37	0	13	82	48	30	24	62	18	42	66	71	24	58	10	22	12	80	52	0	0	0	76	41	2	63	
85	81	81	90	58	58	57	68	71	46	13	0	91	48	37	37	75	31	42	63	76	26	64	24	19	1	87	65	0	0	0	89	44	11	69	
61	19	19	25	35	65	62	26	51	44	82	91	0	64	55	62	40	67	64	77	34	103	33	77	103	90	20	80	0	0	0	55	54	82	34	
92	46	46	51	31	74	70	53	24	33	48	48	64	0	26	50	72	50	6	20	35	72	30	53	67	47	50	88	0	0	0	91	13	46	30	
67	44	44	53	21	47	44	35	41	11	30	37	55	26	0	24	49	25	21	47	40	54	28	30	52	35	50	61	0	0	0	68	14	29	33	
49	58	58	69	37	25	22	35	64	23	24	37	62	50	24	0	38	5	45	71	60	41	46	15	42	35	65	37	0	0	0	52	38	25	52	
23	49	49	60	43	28	26	21	73	38	62	75	40	72	49	38	0	44	68	91	60	77	50	53	80	74	54	41	0	0	0	19	59	64	55	
54	62	62	73	40	28	26	41	66	26	18	31	67	50	25	5	44	0	44	70	63	36	49	10	37	30	69	39	0	0	0	57	39	20	55	
88	47	47	53	30	69	65	51	29	30	42	42	64	6	21	45	68	44	0	26	37	66	30	47	61	41	52	82	0	0	0	88	10	40	32	
112	58	58	59	49	95	91	72	27	54	66	63	77	20	47	71	91	70	26	0	44	88	45	72	82	62	60	108	0	0	0	111	33	63	43	
83	14	14	16	22	75	72	39	17	36	71	76	34	35	40	60	60	63	37	44	0	95	13	70	92	74	16	91	0	0	0	79	31	70	7	
80	97	97	107	74	52	53	77	93	60	24	26	103	72	54	41	77	36	66	88	95	0	82	26	7	26	104	53	0	0	0	86	66	26	88	
73	17	17	25	9	62	59	29	23	23	58	64	33	30	28	46	50	49	30	45	13	82	0	57	80	63	22	78	0	0	0	69	22	57	6	
61	71	71	82	49	34	33	51	71	34	10	24	77	53	30	15	53	10	47	72	70	26	57	0	27	22	78	42	0	0	0	66	44	13	63	
85	95	95	105	73	57	57	78	89	59	22	19	103	67	52	42	80	37	61	82	92	7	80	27	0	20	102	59	0	0	0	90	62	22	85	
84	79	79	89	57	57	56	66	70	45	12	1	90	47	35	35	74	30	41	62	74	26	63	22	20	0	86	64	0	0	0	88	43	10	67	
77	6	6	5	29	75	72	35	33	43	80	87	20	50	50	65	54	69	52	60	16	104	22	78	102	86	0	91	0	0	0	72	45	79	20	
31	85	85	96	69	15	19	55	99	57	52	65	80	88	61	37	41	39	82	108	91	53	78	42	59	64	91	0	0	0	0	39	75	55	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	68	68	78	63	33	33	40	93	58	76	89	55	91	68	52	19	57	88	111	79	86	69	66	90	88	72	39	0	0	0	0	78	77	74	
79	39	39	47	20	61	58	41	27	20	41	44	54	13	14	38	59	39	10	33	31	66	22	44	62	43	45	75	0	0	0	78	0	39	25	
74	73	73	83	50	47	46	58	67	37	2	11	82	46	29	25	64	20	40	63	70	26	57	13	22	10	79	55	0	0	0	77	39	0	62	
78	15	15	21	15	69	65	34	18	29	63	69	34	30	33	52	55	55	32	43	7	88	6	63	85	67	20	84	0	0	0	74	25	62	0	
