0	13	13	30	41	9	42	64	58	34	60	21	88	20	44	42	0	0	0	92	40	
13	0	0	17	30	21	30	52	56	26	59	26	79	32	38	30	0	0	0	83	33	
13	0	0	17	30	21	30	52	56	26	59	26	79	32	38	30	0	0	0	83	33	
30	17	17	0	14	38	15	39	55	20	59	37	67	49	32	19	0	0	0	69	28	
41	30	30	14	0	47	0	41	48	15	51	41	52	58	23	29	0	0	0	54	21	
9	21	21	38	47	0	48	73	56	37	57	17	91	11	46	51	0	0	0	96	42	
42	30	30	15	0	48	0	41	48	16	52	42	51	59	24	29	0	0	0	53	21	
64	52	52	39	41	73	41	0	90	56	93	76	81	85	65	22	0	0	0	78	63	
58	56	56	55	48	56	48	90	0	35	4	38	49	59	24	75	0	0	0	57	27	
34	26	26	20	15	37	16	56	35	0	38	27	54	46	12	39	0	0	0	58	8	
60	59	59	59	51	57	52	93	4	38	0	39	52	60	28	78	0	0	0	61	31	
21	26	26	37	41	17	42	76	38	27	39	0	76	22	32	55	0	0	0	83	29	
88	79	79	67	52	91	51	81	49	54	52	76	0	98	45	79	0	0	0	9	48	
20	32	32	49	58	11	59	85	59	46	60	22	98	0	53	62	0	0	0	104	50	
44	38	38	32	23	46	24	65	24	12	28	32	45	53	0	51	0	0	0	51	4	
42	30	30	19	29	51	29	22	75	39	78	55	79	62	51	0	0	0	0	79	48	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	83	83	69	54	96	53	78	57	58	61	83	9	104	51	79	0	0	0	0	54	
40	33	33	28	21	42	21	63	27	8	31	29	48	50	4	48	0	0	0	54	0	
